MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_562022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4 / E-Tester260   No. 500
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
A1234,32,,,0,26.9,0.064,END,1,10,5/6/2022,16:31:49
A1234,13,NG,,814,26.9,0.064,END,1,10,5/6/2022,16:36:27
A1234,12,NG,,-----,-----,0.06,END,1,10,5/6/2022,16:38:57
A1234,13,OK,,274,26.9,0.064,END,1,10,5/6/2022,16:39:22
A1234,12,,,0,0,0.061,END,1,10,5/6/2022,16:40:15
A1234,13,OK,,985,26.9,0.064,END,1,10,5/6/2022,16:40:42
A1234,15,NG,,325,26.9,0.064,END,1,10,5/6/2022,16:44:27
A1234,17,NG,,257,26.9,0.064,END,1,10,5/6/2022,16:46:17
MODEL,SAVE
SPEC file,C:\NidecDAQ\Config\default.txt
Data file,C:\NidecDAQ\Data\SAVE_A1234_562022.csv
Site,NCVH
Factory,VH12
Product,GREENPLANET
Line,AA
Process,EI01
Test system,E-TESTER4 / E-Tester260   No. 500
,,Test name,[902]Bacode And Close Orifice Plate IN for worker 0.625IN,[301]Speed (Duty100%),[301] Voltage (Duty100%),[011]Current,,Channel,test(sec),DATE,TIME
,,SPEC max,0,5000,30.5,0.1
,,SPEC min,0,200,20.3,0.03
LOT,No.,Judge
A1234,19,NG,,257,26.9,0.064,END,1,10,5/6/2022,16:47:56
A1234,21,NG,,531,26.9,0.064,END,1,10,5/6/2022,16:50:33
A1234,22,OK,,608,26.9,0.064,END,1,10,5/6/2022,16:52:21
A1234,22,,,0,26.9,0.064,END,1,10,5/6/2022,16:52:24
A1234,12,OK,,----,26.9,0.064,END,1,10,5/6/2022,16:53:45
A1234,13,OK,,1440,26.9,0.064,END,1,10,5/6/2022,17:1:18
A1234,15,NG,,----,26.9,0.062,END,1,10,5/6/2022,17:2:38
A1234,15,NG,,----,26.9,0.062,END,1,10,5/6/2022,17:2:40
A1234,15,NG,,----,26.9,0.064,END,1,10,5/6/2022,17:2:41
A1234,15,NG,,----,26.9,0.064,END,1,10,5/6/2022,17:2:42
A1234,15,NG,,----,26.9,0.064,END,1,10,5/6/2022,17:2:43
